Code,Name,Description,NameSort,Logo,SourceLastEdition,SourceISSN,SourceCountry,Language,SourceArchivedSince,SourceFinArchive,SourceDomaine,SourceFrequency,PreviousEdition
BPR_P,La Province,"La Province est un quotidien belge en langue française. Publié à Mons, le quotidien offre les actualités régionales et internationales, de même que des informations pratiques pour la vie quotidienne.","Province, La",bpr_small.gif,2024-11-29T00:00:00,,Belgique,,2016-08-29T00:00:00,,Généraliste,Quotidien,2024-11-28T00:00:00
VPS_P,Psycho-Oncologie,"Psycho-oncologie est une revue française qui a pour mission de mettre en relations les divers spécialistes en oncologie, les intervenants provenant des sciences humaines et les familles des patients atteints de cancer. Diffusant et synthétisant les connaissances de cette discipline récente qui propose un approche psycho-sociale en cancérologie, la revue propose des articles originaux, des revues de littérature, des observations cliniques, des méta-analyses, etc. Archives manquantes entre octobre 2017 et novembre 2020.",Psycho-Oncologie,vps_small.gif,2023-06-01T00:00:00,1778-3798,France,,2015-03-01T00:00:00,,Sciences humaines et sociales,Bimestriel ou trimestriel,2023-03-01T00:00:00
QSC_P,Québec Science,"Créé en 1962, Québec Science (QS) est un magazine scientifique québécois grand public. C'est l'une des deux seules publications québécoises pour adultes consacrées à la vulgarisation scientifique. Elle aborde toutes les questions relatives à la science et à la technologie et pose un regard scientifique sur les grandes questions d'actualité. Chaque année, elle présente un dossier des 10 découvertes québécoises de l'année. Par ailleurs, elle a reçu le prix du magazine de l'année, du dossier thématique de l'année, du reportage de l'année et du meilleur portrait aux Grands Prix 2011 par l'Association des Éditeurs de magazines du Québec.",Québec Science,qsc2_small.gif,2024-12-01T00:00:00,0021-6127,Canada,,2012-03-01T00:00:00,,Sciences et technologie,Mensuel ou bimensuel,2024-10-01T00:00:00
NC_P,"The Queens County Advance (Liverpool, NS)","The Advance est un hebdomadaire régional desservant la ville de Liverpool en Nouvelle-Écosse. Il propose des nouvelles, des éditoriaux, des annonces classées et du sport.","Queens County Advance, The (Liverpool, NS)",nc2_small.gif,2018-06-27T00:00:00,,Canada,,2006-04-11T00:00:00,2018-06-27T00:00:00,Généraliste,Hebdomadaire,2018-06-20T00:00:00
PSC_P,Quesnel Cariboo Observer (BC),"Fondé en 1908, il s'est développé de concert avec la communauté qu'il dessert.",Quesnel Cariboo Observer (BC),psc_small.gif,2024-11-27T00:00:00,1195-5023,Canada,,2019-09-06T00:00:00,,Généraliste,Hebdomadaire,2024-11-20T00:00:00
LQS_P,Question Santé,"Question Santé met l'information médicale à la portée de tous. Santé, beauté et bien-être sont les trois grandes thématiques du magazine.  On peut y trouver l'actualité dans le domaine de la santé,  des dossiers, reportages, des conseils en nutrition et en beauté. Ce magazine a cessé de publier en mai 2013",Question Santé,lqs_small.gif,2012-03-01T00:00:00,1771-1924,France,,2011-08-30T00:00:00,2012-03-01T00:00:00,Santé,Bimestriel ou trimestriel,2012-02-28T00:00:00
QT_P,"Le Quotidien (Saguenay, QC)","Le Quotidien du Saguenay-Lac-Saint-Jean a été fondé en 1973. Il est publié cinq jours par semaine, du lundi au vendredi. Le Quotidien cesse de de publié à partir du 25 mars 2020.","Quotidien, Le (Saguenay, QC)",qt4_small.gif,2020-03-24T00:00:00,1486-1879,Canada,,2004-01-10T00:00:00,2020-03-24T00:00:00,Généraliste,Quotidien,2020-03-23T00:00:00
WRE_P,Raven's Eye,Raven's Eye est une publication mensuelle desservant les autochtones de la Colombie-Britannique.,Raven's Eye,wre_small.gif,2016-11-01T00:00:00,1206-0321,Canada,,2010-01-01T00:00:00,2016-11-01T00:00:00,Généraliste,Mensuel ou bimensuel,2016-03-01T00:00:00
KZ_P,Rayon Boissons,RAYON BOISSONS est le seul magazine professionnel du marché consacré en totalité aux boissons alcoolisées et non alcoolisées en Grande Distribution.,Rayon Boissons,kz_small.gif,2024-11-01T00:00:00,1247-2077 ,France,,2011-06-01T00:00:00,,Industrie,Mensuel ou bimensuel,2024-10-01T00:00:00
SRE_P,La Recherche,"La Recherche est un magazine mensuel couvrant l'actualité scientifique. Crée en 1961, il est désormais la référence pour l'information scientifique francophone. Il manque les numéros suivants: : 320 à 406, 452, 454, 455, 456 et 457. Le magazine devient trimestriel en octobre 2020.","Recherche, La",sre3_small.gif,2024-10-01T00:00:00,0029-5671,France,,2016-04-01T00:00:00,,Sciences et technologie,Bimestriel ou trimestriel,2024-07-01T00:00:00
